#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
598,0,0,49,28,0,1,3397,2
599,0,0,49,29,0,2,3397,3
600,0,0,49,30,0,1,4709,1
601,0,0,49,31,0,1,4709,2
602,0,0,49,32,0,2,4709,3
603,0,0,49,33,0,1,3865,1
604,0,0,49,34,0,1,3865,2
605,0,0,49,35,0,2,3865,3
606,0,0,49,36,0,1,1330,1
607,0,0,49,37,0,2,1330,2
608,0,0,49,38,0,2,1330,3
609,0,0,49,39,0,2,7329,3
610,0,0,49,40,0,2,7329,2
611,0,0,49,41,0,1,7329,1
612,0,0,49,42,0,2,1315,3
613,0,0,49,43,0,2,1315,2
614,0,0,49,44,0,1,1315,1
615,0,0,49,45,0,2,2611,3
616,0,0,49,46,0,2,2611,2
617,0,0,49,47,0,1,2611,1
618,0,0,49,48,0,2,5204,3
619,0,0,49,49,0,1,5204,2
620,0,0,49,50,0,1,5204,1
621,0,0,49,51,0,2,4865,3
622,0,0,49,52,0,1,4865,2
623,0,0,49,53,0,2,4865,1
624,0,0,49,54,0,2,2871,3
625,0,0,49,55,0,1,2871,2
626,0,0,49,56,0,2,2871,1
627,0,0,49,57,0,2,4994,1
628,0,0,49,58,0,1,4994,2
629,0,0,49,59,0,2,4994,3
630,0,0,49,60,0,1,5203,1
631,0,0,49,61,0,1,5203,2
632,0,0,49,62,0,2,5203,3
633,0,0,49,63,0,1,5768,3
634,0,0,49,64,0,2,4853,3
635,0,0,49,65,0,2,4853,2
636,0,0,49,66,0,1,4853,1
637,0,0,49,67,0,2,3449,3
638,0,0,49,68,0,2,3449,2
639,0,0,49,69,0,1,3449,1
640,0,0,49,70,0,2,4288,3
641,0,0,49,71,0,1,4288,2
642,0,0,49,72,0,1,4288,1
643,0,0,49,73,0,2,5477,3
644,0,0,49,74,0,1,5477,2
645,0,0,49,75,0,2,5477,1
646,0,0,49,76,0,2,3439,3
647,0,0,49,77,0,1,3439,2
648,0,0,49,78,0,2,3439,1
649,0,0,49,79,0,2,5742,1
650,0,0,49,80,0,1,5742,2
651,0,0,49,81,0,2,5742,3
652,0,0,49,82,0,1,3665,1
653,0,0,48,1,0,2,4575,3
654,0,0,48,2,0,1,4575,2
655,0,0,48,3,0,1,4575,1
656,0,0,48,4,0,2,1097,1
657,0,0,48,5,0,2,1097,2
658,0,0,48,6,0,1,1097,3
659,0,0,48,7,0,2,4613,3
660,0,0,48,8,0,1,4613,2
661,0,0,48,9,0,2,4613,1
662,0,0,48,10,0,2,3100,1
663,0,0,48,11,0,2,3100,2
664,0,0,48,12,0,2,3100,3
665,0,0,48,13,0,2,5710,3
666,0,0,48,14,0,1,5710,2
667,0,0,48,15,0,1,5710,1
668,0,0,48,16,0,2,6554,1
669,0,0,48,17,0,2,6554,2
670,0,0,48,18,0,2,6554,3
671,0,0,48,19,0,1,4896,3
672,0,0,48,20,0,1,4896,2
673,0,0,48,21,0,1,4896,1
